company_id,company,country,country_code,ca100,alignment_2030,alignment_2050,unit,cutoff_year,year,intensity_tco2_per_t,is_historical,data_type,source,source_file,source_url,accessed_date
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2021,1.87804984,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2022,1.871154726,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2023,1.851979346,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2024,1.730915371,TRUE,historical,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2025,1.684897435,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2026,1.638879499,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2027,1.592861563,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2028,1.546843627,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2029,1.500825691,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
1254,Arcelor Mittal,Netherlands,NLD,Yes,National Pledges,1.5 Degrees,Carbon intensity (tonnes of CO2 per tonne of steel),2024,2030,1.454807755,FALSE,projected,TPI,Latest_CP_Assessments.csv,https://www.transitionpathwayinitiative.org/sectors/steel,2026-02-23
