company,year,metric,value,unit,source_pdf,source_page,source_table,extraction_method,sha256,extracted_date,confidence,notes
POSCO Holdings,2021,emissions_scope12_mt_co2,77.391479,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/posco/POSCO_Sustainability_Report_2021_eng.pdf,99,,regex_text,5207a90a5b83ac88582aec27ae4c140acab53c2b214292dc087db0a04a07dcf1,2026-01-28,high,"POSCO Scope 1&2: 77,391,479 tCO2e = 77.4 Mt"
POSCO Holdings,2023,production_mt,38.263,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/posco/POSCO_Sustainability_Report_2023_eng.pdf,124,,regex_text,ea0ab15d0e821e368183d6c8e06faf05b07f8116ba1d678160c6c083d6a59951,2026-01-28,high,POSCO crude steel produced: 38263.0 kt = 38.3 Mt
POSCO Holdings,2023,emissions_scope12_mt_co2,78.490212,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/posco/POSCO_Sustainability_Report_2023_eng.pdf,125,,regex_text,ea0ab15d0e821e368183d6c8e06faf05b07f8116ba1d678160c6c083d6a59951,2026-01-28,high,"POSCO Scope 1&2: 78,490,212 tCO2e = 78.5 Mt"
SSAB,2015,emissions_scope12_mt_co2,9.606,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2015.pdf,5,,regex_text,2cdb25962404f5f4a22a75bfdb5476419b2a8c80bfd7218e0aa4659fc7aeef40,2026-01-28,high,"SSAB CO2 emissions: 9,606 thousand tonnes = 9.6 Mt (Scope 1)"
SSAB,2017,emissions_scope12_mt_co2,9.828,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2017.pdf,5,,regex_text,890c380a673f089b77ccc14e9136856eacc821fe4b7a34a08431bbfd991804e5,2026-01-28,high,"SSAB CO2 emissions: 9,828 thousand tonnes = 9.8 Mt (Scope 1)"
SSAB,2018,emissions_scope12_mt_co2,9.833,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2018.pdf,5,,regex_text,3003647328dccd234154844183e57787b95661ed92fa2c10abaf338e404fabdc,2026-01-28,high,"SSAB CO2 emissions: 9,833 thousand tonnes = 9.8 Mt (Scope 1)"
SSAB,2019,emissions_scope12_mt_co2,9.582,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2019.pdf,12,,regex_text,b8a206cdc91be4440b8ba91c0369ccde1876ca06fcead6d825da615f63729364,2026-01-28,high,"SSAB CO2 emissions: 9,582 thousand tonnes = 9.6 Mt (Scope 1)"
SSAB,2020,emissions_scope12_mt_co2,8.844,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2020.pdf,13,,regex_text,8433aa5d4f65667258e433321106261592fb9fbba142158b1d88062fd30c4ddd,2026-01-28,high,"SSAB CO2 emissions: 8,844 thousand tonnes = 8.8 Mt (Scope 1)"
SSAB,2021,production_mt,8.8,Mt,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2021.pdf,5,,regex_text,bae959a14cb7716d8b1c813ad21f1400ed04ec6e86a8b48542471cc0da56c6ea,2026-01-28,high,SSAB crude steel production capacity: 8.8 Mt
SSAB,2021,emissions_scope12_mt_co2,10.605,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_2021.pdf,11,,regex_text,bae959a14cb7716d8b1c813ad21f1400ed04ec6e86a8b48542471cc0da56c6ea,2026-01-28,high,"SSAB CO2 emissions: 10,605 thousand tonnes = 10.6 Mt (Scope 1)"
SSAB,2022,emissions_scope12_mt_co2,9.827,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/annual_report_2022.pdf,10,,regex_text,6036b6625edd2b8ab1bfa0ef9d92ec1c6ae5c85ee9ca60e948e10d0dd1c78fc9,2026-01-28,high,"SSAB CO2 emissions: 9,827 thousand tonnes = 9.8 Mt (Scope 1)"
SSAB,2023,emissions_scope12_mt_co2,9.915,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab-annual-report-2023.pdf,10,,regex_text,514b029fb356c8074f6638b7a2b672323ba1320e4127b043ba1c3c3bdb7caf7e,2026-01-28,high,"SSAB CO2 emissions: 9,915 thousand tonnes = 9.9 Mt (Scope 1)"
SSAB,2024,emissions_scope12_mt_co2,9.483,Mt CO2,01.Data/01.RawData/01. Company Data/AnnualReports/steel/ssab/ssab_annual_report_2024.pdf,11,,regex_text,5542239e30fb6ba884333374b415a2765b1f053173a8fd41e262167fd673787b,2026-01-28,medium,"SSAB Scope 1: 9,483 thousand tonnes"
