company,year,metric,value_apa,value_climate_trace,default_value,default_source,default_certainty,n_sources,source_spread_pct
ALPA - Aciéries et Laminoirs de Paris SAS,2022,production_mt,,0.376,0.376,climate_trace,0.7,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2023,emissions_mt_co2,,0.023,0.023,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2023,production_mt,,0.286,0.286,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2024,emissions_mt_co2,,0.027,0.027,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2024,production_mt,,0.334,0.334,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2025,emissions_mt_co2,,0.027,0.027,climate_trace,0.72,1.0,
ALPA - Aciéries et Laminoirs de Paris SAS,2025,production_mt,,0.334,0.334,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2021,emissions_mt_co2,,0.268,0.268,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2021,production_mt,,1.409,1.409,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2022,emissions_mt_co2,,0.224,0.224,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2022,production_mt,,1.179,1.179,climate_trace,0.7,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2023,emissions_mt_co2,,0.231,0.231,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2023,production_mt,,1.214,1.214,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2024,emissions_mt_co2,,0.213,0.213,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2024,production_mt,,1.118,1.118,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2025,emissions_mt_co2,,0.152,0.152,climate_trace,0.72,1.0,
Abinski Elektrometallurgicheski Zavod LLC,2025,production_mt,,0.796,0.796,climate_trace,0.72,1.0,
Abul Khair Steel Ltd,2021,emissions_mt_co2,,0.231,0.231,climate_trace,0.7,1.0,
Abul Khair Steel Ltd,2021,production_mt,,0.855,0.855,climate_trace,0.7,1.0,
Abul Khair Steel Ltd,2022,emissions_mt_co2,,0.228,0.228,climate_trace,0.7,1.0,
Abul Khair Steel Ltd,2022,production_mt,,0.846,0.846,climate_trace,0.7,1.0,
Abul Khair Steel Ltd,2023,emissions_mt_co2,,0.23,0.23,climate_trace,0.72,1.0,
Abul Khair Steel Ltd,2023,production_mt,,0.853,0.853,climate_trace,0.72,1.0,
Abul Khair Steel Ltd,2024,emissions_mt_co2,,0.227,0.227,climate_trace,0.72,1.0,
Abul Khair Steel Ltd,2024,production_mt,,0.84,0.84,climate_trace,0.72,1.0,
Abul Khair Steel Ltd,2025,emissions_mt_co2,,0.185,0.185,climate_trace,0.72,1.0,
Abul Khair Steel Ltd,2025,production_mt,,0.684,0.684,climate_trace,0.72,1.0,
Acciai Speciali Terni SpA,2021,emissions_mt_co2,,0.208,0.208,climate_trace,0.7,1.0,
Acciai Speciali Terni SpA,2021,production_mt,,1.15,1.15,climate_trace,0.7,1.0,
Acciai Speciali Terni SpA,2022,emissions_mt_co2,,0.178,0.178,climate_trace,0.7,1.0,
Acciai Speciali Terni SpA,2022,production_mt,,0.983,0.983,climate_trace,0.7,1.0,
Acciai Speciali Terni SpA,2023,emissions_mt_co2,,0.175,0.175,climate_trace,0.72,1.0,
Acciai Speciali Terni SpA,2023,production_mt,,0.963,0.963,climate_trace,0.72,1.0,
Acciai Speciali Terni SpA,2024,emissions_mt_co2,,0.165,0.165,climate_trace,0.72,1.0,
Acciai Speciali Terni SpA,2024,production_mt,,0.909,0.909,climate_trace,0.72,1.0,
