company,year,country,production_kt,source
ArcelorMittal,2019,Bosnia and Herzegovina,1709.5985571881945,kampmann_scaled
ArcelorMittal,2019,Brazil,11191.673549848309,kampmann_scaled
ArcelorMittal,2019,Canada,5683.964488934248,kampmann_scaled
ArcelorMittal,2019,France,9473.274148223747,kampmann_scaled
ArcelorMittal,2019,Germany,8390.971157744627,kampmann_scaled
ArcelorMittal,2019,India,5218.674766172214,kampmann_scaled
ArcelorMittal,2019,Italy,4053.673969270345,kampmann_scaled
ArcelorMittal,2019,Kazakhstan,5287.4117466131665,kampmann_scaled
ArcelorMittal,2019,Luxembourg,2643.7058733065833,kampmann_scaled
ArcelorMittal,2019,Mexico,5639.897493254295,kampmann_scaled
ArcelorMittal,2019,Morocco,704.9840479818808,kampmann_scaled
ArcelorMittal,2019,Poland,5067.101877612649,kampmann_scaled
ArcelorMittal,2019,Romania,704.9840479818808,kampmann_scaled
ArcelorMittal,2019,South Africa,3232.948145455562,kampmann_scaled
ArcelorMittal,2019,Spain,7798.929187579515,kampmann_scaled
ArcelorMittal,2019,Ukraine,7049.878143917681,kampmann_scaled
ArcelorMittal,2020,Argentina,1228.35,kampmann_ald
ArcelorMittal,2020,Belgium,3509.58,kampmann_ald
ArcelorMittal,2020,Bosnia and Herzegovina,1361.72,kampmann_ald
ArcelorMittal,2020,Brazil,8914.33,kampmann_ald
ArcelorMittal,2020,Canada,4527.36,kampmann_ald
ArcelorMittal,2020,France,7545.6,kampmann_ald
ArcelorMittal,2020,Germany,6683.53,kampmann_ald
ArcelorMittal,2020,India,4156.75,kampmann_ald
ArcelorMittal,2020,Italy,3228.81,kampmann_ald
ArcelorMittal,2020,Kazakhstan,4211.5,kampmann_ald
ArcelorMittal,2020,Luxembourg,2105.75,kampmann_ald
ArcelorMittal,2020,Mexico,4492.26,kampmann_ald
ArcelorMittal,2020,Morocco,561.53,kampmann_ald
ArcelorMittal,2020,Poland,4036.02,kampmann_ald
ArcelorMittal,2020,Romania,561.53,kampmann_ald
ArcelorMittal,2020,South Africa,2575.09,kampmann_ald
ArcelorMittal,2020,Spain,6211.96,kampmann_ald
ArcelorMittal,2020,Ukraine,5615.33,kampmann_ald
ArcelorMittal,2021,Argentina,1186.0,kampmann_ald
ArcelorMittal,2021,Belgium,3388.58,kampmann_ald
ArcelorMittal,2021,Bosnia and Herzegovina,1314.77,kampmann_ald
ArcelorMittal,2021,Brazil,8607.0,kampmann_ald
ArcelorMittal,2021,Canada,4371.27,kampmann_ald
ArcelorMittal,2021,France,7285.45,kampmann_ald
ArcelorMittal,2021,Germany,6453.11,kampmann_ald
ArcelorMittal,2021,India,4013.44,kampmann_ald
ArcelorMittal,2021,Italy,3117.5,kampmann_ald
ArcelorMittal,2021,Kazakhstan,4066.3,kampmann_ald
ArcelorMittal,2021,Luxembourg,2033.15,kampmann_ald
ArcelorMittal,2021,Mexico,4337.39,kampmann_ald
ArcelorMittal,2021,Morocco,542.17,kampmann_ald
ArcelorMittal,2021,Poland,3896.87,kampmann_ald
ArcelorMittal,2021,Romania,542.17,kampmann_ald
ArcelorMittal,2021,South Africa,2486.31,kampmann_ald
ArcelorMittal,2021,Spain,5997.79,kampmann_ald
ArcelorMittal,2021,Ukraine,5421.73,kampmann_ald
ArcelorMittal,2022,Argentina,1054.64,kampmann_ald
ArcelorMittal,2022,Belgium,3013.25,kampmann_ald
ArcelorMittal,2022,Bosnia and Herzegovina,1169.14,kampmann_ald
ArcelorMittal,2022,Brazil,7653.66,kampmann_ald
ArcelorMittal,2022,Canada,3887.1,kampmann_ald
ArcelorMittal,2022,France,6478.49,kampmann_ald
ArcelorMittal,2022,Germany,5738.34,kampmann_ald
ArcelorMittal,2022,India,3568.9,kampmann_ald
ArcelorMittal,2022,Italy,2772.19,kampmann_ald
ArcelorMittal,2022,Kazakhstan,3615.9,kampmann_ald
ArcelorMittal,2022,Luxembourg,1807.95,kampmann_ald
ArcelorMittal,2022,Mexico,3856.96,kampmann_ald
ArcelorMittal,2022,Morocco,482.12,kampmann_ald
ArcelorMittal,2022,Poland,3465.24,kampmann_ald
ArcelorMittal,2022,Romania,482.12,kampmann_ald
ArcelorMittal,2022,South Africa,2210.92,kampmann_ald
ArcelorMittal,2022,Spain,5333.46,kampmann_ald
ArcelorMittal,2022,Ukraine,1446.36,kampmann_ald
ArcelorMittal,2022,United States,964.24,kampmann_ald
ArcelorMittal,2023,Argentina,999.65,kampmann_ald
ArcelorMittal,2023,Belgium,2856.15,kampmann_ald
ArcelorMittal,2023,Bosnia and Herzegovina,1108.19,kampmann_ald
ArcelorMittal,2023,Brazil,8968.32,kampmann_ald
ArcelorMittal,2023,Canada,3684.44,kampmann_ald
ArcelorMittal,2023,France,6140.73,kampmann_ald
ArcelorMittal,2023,Germany,5439.16,kampmann_ald
ArcelorMittal,2023,India,3382.83,kampmann_ald
ArcelorMittal,2023,Italy,2627.66,kampmann_ald
ArcelorMittal,2023,Kazakhstan,3427.38,kampmann_ald
ArcelorMittal,2023,Luxembourg,1713.69,kampmann_ald
ArcelorMittal,2023,Mexico,3655.87,kampmann_ald
ArcelorMittal,2023,Morocco,456.98,kampmann_ald
ArcelorMittal,2023,Poland,3284.57,kampmann_ald
ArcelorMittal,2023,Romania,456.98,kampmann_ald
ArcelorMittal,2023,South Africa,2095.65,kampmann_ald
ArcelorMittal,2023,Spain,5055.39,kampmann_ald
ArcelorMittal,2023,Ukraine,1370.95,kampmann_ald
ArcelorMittal,2023,United States,1342.39,kampmann_ald
ArcelorMittal,2024,Argentina,1117.16,kampmann_ald
ArcelorMittal,2024,Belgium,3191.89,kampmann_ald
ArcelorMittal,2024,Bosnia and Herzegovina,1238.45,kampmann_ald
ArcelorMittal,2024,Brazil,10022.54,kampmann_ald
ArcelorMittal,2024,Canada,4117.54,kampmann_ald
ArcelorMittal,2024,France,6862.57,kampmann_ald
ArcelorMittal,2024,Germany,6078.54,kampmann_ald
ArcelorMittal,2024,India,3780.48,kampmann_ald
ArcelorMittal,2024,Kazakhstan,3830.27,kampmann_ald
ArcelorMittal,2024,Luxembourg,1915.14,kampmann_ald
ArcelorMittal,2024,Mexico,4085.62,kampmann_ald
ArcelorMittal,2024,Morocco,510.7,kampmann_ald
ArcelorMittal,2024,Poland,3670.68,kampmann_ald
ArcelorMittal,2024,Romania,510.7,kampmann_ald
ArcelorMittal,2024,South Africa,1502.41,kampmann_ald
ArcelorMittal,2024,Spain,5649.65,kampmann_ald
ArcelorMittal,2024,Ukraine,1532.11,kampmann_ald
ArcelorMittal,2024,United States,1500.19,kampmann_ald
Baoshan Iron & Steel,2019,China,63215.34575863576,kampmann_scaled
Baoshan Iron & Steel,2020,China,47874.0,kampmann_ald
Baoshan Iron & Steel,2021,China,47874.0,kampmann_ald
Baoshan Iron & Steel,2022,China,50964.44,kampmann_ald
Baoshan Iron & Steel,2023,China,48904.15,kampmann_ald
Baoshan Iron & Steel,2024,China,48904.15,kampmann_ald
BlueScope Steel,2014,Australia,2545.9989457037427,kampmann_scaled
BlueScope Steel,2014,New Zealand,517.1534001054297,kampmann_scaled
BlueScope Steel,2014,United States,1736.8476541908276,kampmann_scaled
BlueScope Steel,2015,Australia,2652.0822351080656,kampmann_scaled
BlueScope Steel,2015,New Zealand,538.7014584431558,kampmann_scaled
BlueScope Steel,2015,United States,1809.2163064487788,kampmann_scaled
BlueScope Steel,2016,Australia,2758.165524512388,kampmann_scaled
BlueScope Steel,2016,New Zealand,560.2495167808821,kampmann_scaled
BlueScope Steel,2016,United States,1881.58495870673,kampmann_scaled
BlueScope Steel,2017,Australia,2811.207169214549,kampmann_scaled
BlueScope Steel,2017,New Zealand,571.0235459497452,kampmann_scaled
BlueScope Steel,2017,United States,1917.7692848357055,kampmann_scaled
BlueScope Steel,2018,Australia,2917.290458618872,kampmann_scaled
BlueScope Steel,2018,New Zealand,592.5716042874715,kampmann_scaled
BlueScope Steel,2018,United States,1990.1379370936568,kampmann_scaled
BlueScope Steel,2019,Australia,2864.248813916711,kampmann_scaled
BlueScope Steel,2019,New Zealand,581.7975751186084,kampmann_scaled
BlueScope Steel,2019,United States,1953.9536109646813,kampmann_scaled
BlueScope Steel,2020,Australia,3018.6,kampmann_ald
BlueScope Steel,2020,New Zealand,613.15,kampmann_ald
BlueScope Steel,2020,United States,2059.25,kampmann_ald
BlueScope Steel,2021,Australia,3184.62,kampmann_ald
BlueScope Steel,2021,New Zealand,646.88,kampmann_ald
BlueScope Steel,2021,United States,2172.51,kampmann_ald
BlueScope Steel,2022,Australia,2995.01,kampmann_ald
BlueScope Steel,2022,New Zealand,608.36,kampmann_ald
BlueScope Steel,2022,United States,2374.63,kampmann_ald
BlueScope Steel,2023,Australia,2869.91,kampmann_ald
BlueScope Steel,2023,New Zealand,582.95,kampmann_ald
BlueScope Steel,2023,United States,2720.14,kampmann_ald
BlueScope Steel,2024,Australia,3017.03,kampmann_ald
BlueScope Steel,2024,New Zealand,612.83,kampmann_ald
BlueScope Steel,2024,United States,2837.12,kampmann_ald
China Steel,2014,Taiwan,15710.717647058826,kampmann_scaled
China Steel,2014,Vietnam,1820.6161587526576,kampmann_scaled
China Steel,2015,Taiwan,15710.717647058826,kampmann_scaled
China Steel,2015,Vietnam,1820.6161587526576,kampmann_scaled
China Steel,2016,Taiwan,15404.664705882355,kampmann_scaled
China Steel,2016,Vietnam,1785.149610205528,kampmann_scaled
China Steel,2017,Taiwan,16322.823529411764,kampmann_scaled
China Steel,2017,Vietnam,1891.5492558469168,kampmann_scaled
China Steel,2018,Taiwan,16628.87647058824,kampmann_scaled
China Steel,2018,Vietnam,1927.0158043940469,kampmann_scaled
China Steel,2019,Taiwan,16118.78823529412,kampmann_scaled
China Steel,2019,Vietnam,1867.9048901488306,kampmann_scaled
China Steel,2020,Taiwan,14394.69,kampmann_ald
China Steel,2020,Vietnam,1668.11,kampmann_ald
China Steel,2021,Taiwan,16230.88,kampmann_ald
China Steel,2021,Vietnam,1880.9,kampmann_ald
China Steel,2022,Taiwan,14205.84,kampmann_ald
China Steel,2022,Vietnam,1646.23,kampmann_ald
China Steel,2023,Taiwan,12801.53,kampmann_ald
China Steel,2023,Vietnam,1483.49,kampmann_ald
China Steel,2024,Taiwan,14408.24,kampmann_ald
China Steel,2024,Vietnam,1669.68,kampmann_ald
Cleveland-Cliffs,2019,Canada,728.3826436821477,gem_capacity_share
Cleveland-Cliffs,2019,United States,7671.617356317853,gem_capacity_share
Cleveland-Cliffs,2020,Canada,1118.5876313690126,gem_capacity_share
Cleveland-Cliffs,2020,United States,11781.412368630987,gem_capacity_share
Cleveland-Cliffs,2021,Canada,1387.3955117755195,gem_capacity_share
Cleveland-Cliffs,2021,United States,14612.60448822448,gem_capacity_share
Cleveland-Cliffs,2022,Canada,1396.0667337241166,gem_capacity_share
Cleveland-Cliffs,2022,United States,14703.933266275884,gem_capacity_share
Cleveland-Cliffs,2023,Canada,1422.0803995699075,gem_capacity_share
Cleveland-Cliffs,2023,United States,14977.919600430092,gem_capacity_share
Cleveland-Cliffs,2024,Canada,1368.318823488606,gem_capacity_share
Cleveland-Cliffs,2024,United States,14411.681176511394,gem_capacity_share
Evraz,2019,Canada,998.2531172820915,gem_capacity_share
Evraz,2019,Russia,11896.681525209324,gem_capacity_share
Evraz,2019,United States,915.0653575085839,gem_capacity_share
Evraz,2020,Canada,985.2418529004277,gem_capacity_share
Evraz,2020,Russia,11741.619781940846,gem_capacity_share
Evraz,2020,United States,903.1383651587255,gem_capacity_share
Evraz,2021,Canada,980.9047647732065,gem_capacity_share
Evraz,2021,Russia,11689.932534184687,gem_capacity_share
Evraz,2021,United States,899.1627010421059,gem_capacity_share
Evraz,2022,Canada,903.5600265044275,gem_capacity_share
Evraz,2022,Russia,10768.176615866514,gem_capacity_share
Evraz,2022,United States,828.2633576290585,gem_capacity_share
Gerdau,2014,Brazil,8015.00893388922,gem_capacity_share
Gerdau,2014,Canada,1113.7581893984516,gem_capacity_share
Gerdau,2014,Mexico,506.2537224538416,gem_capacity_share
Gerdau,2014,United States,5664.979154258487,gem_capacity_share
Gerdau,2015,Brazil,7075.31500217243,gem_capacity_share
Gerdau,2015,Canada,983.1791943392712,gem_capacity_share
Gerdau,2015,Mexico,1340.6989013717337,gem_capacity_share
Gerdau,2015,United States,5000.806902116567,gem_capacity_share
Gerdau,2016,Brazil,6633.107814536653,gem_capacity_share
Gerdau,2016,Canada,921.7304946930668,gem_capacity_share
Gerdau,2016,Mexico,1256.9052200360004,gem_capacity_share
Gerdau,2016,United States,4688.256470734281,gem_capacity_share
Gerdau,2017,Argentina,542.9270329932582,gem_capacity_share
Gerdau,2017,Brazil,6612.015989499433,gem_capacity_share
Gerdau,2017,Canada,918.799594296283,gem_capacity_share
Gerdau,2017,Mexico,1252.9085376767496,gem_capacity_share
Gerdau,2017,United States,4673.348845534277,gem_capacity_share
Gerdau,2018,Argentina,504.1465306365969,gem_capacity_share
Gerdau,2018,Brazil,6139.729133106616,gem_capacity_share
Gerdau,2018,Canada,853.1710518465485,gem_capacity_share
Gerdau,2018,Mexico,1163.415070699839,gem_capacity_share
Gerdau,2018,United States,4339.5382137104,gem_capacity_share
Gerdau,2019,Argentina,217.1708131973033,gem_capacity_share
Gerdau,2019,Brazil,2644.8063957997733,gem_capacity_share
Gerdau,2019,Canada,367.5198377185132,gem_capacity_share
